title,originallink,link,description,pubDate
"(여자)아이들, '음중'서 '퀸카' 컴백 무대 공개..<b>Y2K</b> 감성 물씬",http://www.osen.co.kr/article/G1112108900,https://m.entertain.naver.com/article/109/0004854647,"또한 볼캡, 컬러 <b>선글라스</b> 등 <b>Y2K</b> 감성이 가득 담긴 패션 아이템들로 시선을 사로잡았다. 여기에 멜로디와 가사, 안무까지 완성도 높은 (여자)아이들의 퍼포먼스가 어우러져 글로벌 팬심을 저격했다. (여자)... ","Sun, 21 May 2023 09:14:00 +0900"
"(여자)아이들, '음중'서 당당한 '<b>Y2K</b> 퀸카' 컴백",https://www.starnewskorea.com/stview.php?no=2023052109100419975,https://m.entertain.naver.com/article/108/0003153914,"또한 볼캡, 컬러 <b>선글라스</b> 등 <b>Y2K</b> 감성이 가득 담긴 패션 아이템들로 시선을 사로잡았다. 여기에 멜로디와 가사, 안무까지 완성도 높은 (여자)아이들의 퍼포먼스가 어우러져 글로벌 팬심을 저격했다. (여자)아이들의... ","Sun, 21 May 2023 09:13:00 +0900"
2023 <b>선글라스</b> 트렌드,https://www.allurekorea.com/2023/07/12/sunglasses/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2023/07/12/sunglasses/?utm_source=naver&utm_medium=partnership,<b>Y2K</b> 고글 <b>선글라스</b> <b>Y2K</b> 분위기 폴폴 풍기는 제니의 스포티한 고글 <b>선글라스</b>. 옆테가 도톰하고 날렵한 눈매가 특징인 이 <b>선글라스</b>는 오버 사이즈 타입이라 얼굴이 작아보이는 것이 큰 장점이죠.... ,"Wed, 12 Jul 2023 14:16:00 +0900"
"뉴욕 가는 윈터·사나, 공항패션 극과 극…럭셔리 블랙 vs <b>Y2K</b> 스트리트",https://www.mk.co.kr/article/11414755,https://m.entertain.naver.com/article/410/0001088418,"<b>선글라스</b>와 데님 숄더백을 매치해 <b>Y2K</b> 무드를 담았고, 스니커즈로 편안한 공항 패션을 완성했다. 허리까지 내려오는 긴 웨이브 헤어는 가볍게 흩날리며 자연스러운 볼륨감을 더해, 계절에 어울리는 따뜻하면서도 자유로운... ","Tue, 09 Sep 2025 13:41:00 +0900"
"“왕홍조 출근합니다” 이은지, 중국 무대서 <b>Y2K</b> 부캐 폭발",https://sports.donga.com/ent/article/all/20250822/132233328/1,https://m.entertain.naver.com/article/382/0001218311,"이은지가 중국 구이양에 한국의 <b>Y2K</b> 감성을 전파한다. 23일 방송될 ENA, EBS 공동제작 ‘추성훈의 밥값은... 이은지는 출근 복장부터 시간 여행을 떠나는 듯 레트로 감성이 물씬 풍기는 의상과 <b>선글라스</b>를 착용하고 남다른... ","Fri, 22 Aug 2025 09:30:00 +0900"
‘추성훈의 밥값은 해야지’ 중국에 <b>Y2K</b> 전파,https://www.bntnews.co.kr/article/view/bnt202508220040,https://www.bntnews.co.kr/article/view/bnt202508220040,"이은지가 중국 구이양에 한국의 <b>Y2K</b> 감성을 전파한다. 내일(23일) 방송될 ENA, EBS 공동제작 ‘추성훈의 밥값은... 이은지는 출근 복장부터 시간 여행을 떠나는 듯 레트로 감성이 물씬 풍기는 의상과 <b>선글라스</b>를 착용하고... ","Fri, 22 Aug 2025 08:56:00 +0900"
언제까지 촌스럽다 안 입을 거죠? 지금은 ‘이것’이 대세입니다,https://www.allurekorea.com/2026/01/29/%ec%b4%8c%ec%8a%a4%eb%9f%bd%eb%8b%a4%ea%b3%a0-%ec%95%88-%ec%9e%85%ec%9d%84-%ea%b1%b0%eb%a9%b4-%ed%9b%84%ed%9a%8c%ed%95%a0%ec%a7%80%eb%8f%84-%ec%a7%80%ea%b8%88%ec%9d%80-%ec%9d%b4%ea%b2%83/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2026/01/29/%ec%b4%8c%ec%8a%a4%eb%9f%bd%eb%8b%a4%ea%b3%a0-%ec%95%88-%ec%9e%85%ec%9d%84-%ea%b1%b0%eb%a9%b4-%ed%9b%84%ed%9a%8c%ed%95%a0%ec%a7%80%eb%8f%84-%ec%a7%80%ea%b8%88%ec%9d%80-%ec%9d%b4%ea%b2%83/?utm_source=naver&utm_medium=partnership,"칼단발 헤어 위로 착용한 무테 <b>선글라스</b>는 <b>Y2K</b> 감성을 더했죠. 셔츠+팬츠 데님 셔츠와 팬츠 셋업을 서부 영화나 90년대 복학생(!) 패션처럼 보이지 않고 세련되게 입는 쉬운 방법, 바로 인디고 컬러 생지 데님인데요. 상의... ","Thu, 29 Jan 2026 18:02:00 +0900"
"가을 패션 완성은 <b>선글라스</b>! 로제, 강민경, 김나영이 선택한 오벌 선글...",https://www.harpersbazaar.co.kr/article/1888857,https://www.harpersbazaar.co.kr/article/1888857,"어머니의 옷장에서 건진 듯한 빈티지한 무드의 <b>선글라스</b>는 요즘 세대가 즐기는 <b>Y2K</b> 룩과도 어울리지만, 헤일리처럼 로맨틱한 무드의 옷과도 어울리니 시도해 보기를. 부드러운 퍼 트리밍과 네트 디자인이 돋보이는... ","Tue, 30 Sep 2025 17:30:00 +0900"
"&quot;<b>Y2K</b> 시절 좀 아는 너와 나&quot;…채정안, 여름 햇살 아래→레트로 무드 절정",https://www.topstarnews.net/news/articleView.html?idxno=15771793,https://www.topstarnews.net/news/articleView.html?idxno=15771793,"넓은 금색 프레임의 <b>선글라스</b> 뒤로 드러나는 표정은 담백하면서도 묘하게 여유롭다. 그는 흰색 민소매 탑에... 채정안은 사진과 함께 &quot;<b>Y2K</b> 시절 좀 아는 너와 나 Welcome back, SPY&quot;라고 짧은 글을 남기며 추억과 현재를 잇는... ","Sun, 17 Aug 2025 18:54:00 +0900"
<b>Y2K</b>처럼 벨벳 입기,https://www.marieclairekorea.com/fashion/2021/08/y2k/?utm_source=naver&utm_medium=partnership,https://www.marieclairekorea.com/fashion/2021/08/y2k/?utm_source=naver&utm_medium=partnership,"오렌지 컬러의 틴디드 <b>선글라스</b>까지 완벽한 <b>Y2K</b> 스타일링. @_imyour_joy 조이는 벨벳 블랙 드레스를 착용했다. 벨벳 드레스는 벨벳이 지닌 우아함을 최대치로 끌어올린다. 조이처럼 실버 액세서리를 더한다면, 세련된... ","Tue, 31 Aug 2021 09:04:00 +0900"
