period,ratio
2025-11-06,39.12831
2025-11-07,36.78233
2025-11-08,35.19364
2025-11-09,38.27805
2025-11-10,41.4819
2025-11-11,42.56663
2025-11-12,40.44211
2025-11-13,38.67811
2025-11-14,36.64144
2025-11-15,34.76258
2025-11-16,37.94781
2025-11-17,41.88193
2025-11-18,41.80072
2025-11-19,40.35658
2025-11-20,38.57768
2025-11-21,35.86145
2025-11-22,34.17909
2025-11-23,36.78226
2025-11-24,39.90343
2025-11-25,39.48815
2025-11-26,37.30333
2025-11-27,36.5039
2025-11-28,34.43215
2025-11-29,33.49569
2025-11-30,36.33739
2025-12-01,39.43047
2025-12-02,39.91007
2025-12-03,40.50505
2025-12-04,38.7606
2025-12-05,36.68256
2025-12-06,35.42009
2025-12-07,38.52872
2025-12-08,41.30694
2025-12-09,40.77605
2025-12-10,39.96794
2025-12-11,38.84757
2025-12-12,36.59509
2025-12-13,35.8189
2025-12-14,39.03211
2025-12-15,41.45362
2025-12-16,40.96413
2025-12-17,40.27183
2025-12-18,39.17267
2025-12-19,37.88192
2025-12-20,36.93008
2025-12-21,40.43468
2025-12-22,42.30261
2025-12-23,40.13969
2025-12-24,37.07263
2025-12-25,38.74423
2025-12-26,39.99321
2025-12-27,38.12581
2025-12-28,41.23087
2025-12-29,42.24519
2025-12-30,41.00083
2025-12-31,38.00614
2026-01-01,41.48678
2026-01-02,43.22187
2026-01-03,42.92394
2026-01-04,45.37232
2026-01-05,46.23106
2026-01-06,46.09332
2026-01-07,46.30798
2026-01-08,46.47148
2026-01-09,43.42789
2026-01-10,42.6408
2026-01-11,46.19997
2026-01-12,48.00184
2026-01-13,46.83276
2026-01-14,46.37895
2026-01-15,45.16231
2026-01-16,42.85628
2026-01-17,41.96196
2026-01-18,44.46556
2026-01-19,45.4134
2026-01-20,45.73814
2026-01-21,45.38309
2026-01-22,45.00921
2026-01-23,42.25082
2026-01-24,42.45426
2026-01-25,45.31487
2026-01-26,47.84462
2026-01-27,47.27288
2026-01-28,48.06567
2026-01-29,47.17923
2026-01-30,44.89514
2026-01-31,45.27841
2026-02-01,46.67793
2026-02-02,45.63939
2026-02-03,45.31736
2026-02-04,44.70257
2026-02-05,43.18626
2026-02-06,42.01646
2026-02-07,42.7901
2026-02-08,45.99241
2026-02-09,46.65528
2026-02-10,45.09727
2026-02-11,43.83718
2026-02-12,41.68321
